text,sentiment
Nothing special really,neutral
Waste of money,negative
It is okay ...,neutral
Product is fine,neutral
Waste of money honestly,negative
Absolutely fantastic,positive
It works as expected !,neutral
Very happy with this very,positive
Extremely disappointed,negative
Delivery was on time really,neutral
Worst experience ever !,negative
Excellent performance !!,positive
It works as expected,neutral
Very happy with this,positive
It works as expected,neutral
Best service ever very,positive
Late delivery,negative
Worst experience ever,negative
It is okay honestly,neutral
I hate this product very,negative
Highly recommend this !!,positive
Great quality !!,positive
Can be improved,neutral
"Not bad, not great !",neutral
Amazing experience kinda,positive
Super fast delivery,positive
Late delivery !!,negative
I hate this product ...,negative
Worth every penny,positive
Great quality kinda,positive
Worst experience ever really,negative
Not worth the money,negative
Late delivery really,negative
Product is fine !,neutral
Worth every penny,positive
Worth every penny !,positive
Average experience really,neutral
Very bad service !!,negative
Great quality ...,positive
Delivery was on time,neutral
Not worth the money very,negative
Great quality,positive
Super fast delivery,positive
Not worth the money,negative
Best service ever,positive
Very खराब experience,negative
I hate this product,negative
Extremely disappointed,negative
Very खराब experience !,negative
Worth every penny,positive
Worth every penny honestly,positive
Very खराब experience,negative
Great quality,positive
Not worth the money,negative
Late delivery,negative
I hate this product,negative
Highly recommend this,positive
Poor customer support !!,negative
Not worth the money very,negative
Okayish performance,neutral
Worst experience ever !,negative
Terrible quality,negative
Amazing experience very,positive
Very happy with this,positive
Very happy with this,positive
Nothing special really,neutral
It is okay,neutral
It is okay,neutral
Very happy with this honestly,positive
Very खराब experience ...,negative
Okayish performance,neutral
Can be improved,neutral
Great quality really,positive
I hate this product,negative
It is okay,neutral
Worst experience ever,negative
It works as expected,neutral
Product is fine,neutral
Best service ever kinda,positive
Extremely disappointed ...,negative
Best service ever,positive
Can be improved,neutral
Can be improved,neutral
Best service ever really,positive
I hate this product,negative
Very happy with this,positive
Very bad service really,negative
Poor customer support kinda,negative
Best service ever,positive
Super fast delivery kinda,positive
Late delivery kinda,negative
Worth every penny,positive
Product is fine,neutral
Super fast delivery,positive
I hate this product,negative
Great quality kinda,positive
Worst experience ever,negative
Super fast delivery very,positive
Absolutely fantastic,positive
Absolutely fantastic,positive
Okayish performance,neutral
Average experience,neutral
Waste of money,negative
Delivery was on time really,neutral
Not worth the money,negative
Late delivery !,negative
Okayish performance,neutral
Can be improved,neutral
I hate this product very,negative
I love this product,positive
Very happy with this,positive
Worth every penny !,positive
Highly recommend this,positive
Product is fine kinda,neutral
Excellent performance really,positive
Very खराब experience honestly,negative
Amazing experience,positive
Okayish performance,neutral
Neutral feeling ...,neutral
It works as expected ...,neutral
Poor customer support,negative
Poor customer support kinda,negative
Great quality ...,positive
Best service ever,positive
Excellent performance,positive
Nothing special really,neutral
Absolutely fantastic honestly,positive
Worth every penny honestly,positive
Terrible quality,negative
Worth every penny,positive
Average experience,neutral
Terrible quality very,negative
Can be improved kinda,neutral
Worst experience ever honestly,negative
Very bad service !,negative
Average experience,neutral
Excellent performance,positive
Excellent performance,positive
Okayish performance,neutral
Not worth the money !!,negative
Highly recommend this really,positive
Absolutely fantastic kinda,positive
Okayish performance,neutral
Extremely disappointed,negative
I love this product very,positive
It is okay !!,neutral
I love this product really,positive
Nothing special,neutral
Worth every penny,positive
Poor customer support,negative
Neutral feeling,neutral
Nothing special,neutral
Not worth the money,negative
"Not bad, not great very",neutral
Very bad service kinda,negative
Absolutely fantastic,positive
It is okay,neutral
Highly recommend this very,positive
Worst experience ever ...,negative
It works as expected,neutral
It is okay,neutral
It works as expected honestly,neutral
Super fast delivery really,positive
Neutral feeling,neutral
Great quality kinda,positive
Can be improved,neutral
Very happy with this honestly,positive
Extremely disappointed,negative
Super fast delivery,positive
Very खराब experience very,negative
Average experience ...,neutral
It works as expected,neutral
Can be improved !,neutral
Excellent performance,positive
Worth every penny very,positive
Worth every penny,positive
Poor customer support honestly,negative
I love this product !,positive
Product is fine very,neutral
It is okay,neutral
Super fast delivery,positive
Worst experience ever,negative
It works as expected,neutral
